Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.325859667878286,-8.783217301635593
75% Corpus,2,0.01,0.31,0.325859667878286,-7.824916864299558
75% Corpus,2,0.01,0.61,0.33973676574275347,-7.7908043670237985
75% Corpus,2,0.01,0.9099999999999999,0.33733008079845583,-7.803629561524307
75% Corpus,2,0.01,symmetric,0.32585966787828596,-7.777861394982444
75% Corpus,2,0.31,0.01,0.33564357138785894,-8.926201185188535
75% Corpus,2,0.31,0.31,0.3373300807984557,-7.887009655446591
75% Corpus,2,0.31,0.61,0.29654093206002896,-7.710517224997218
75% Corpus,2,0.31,0.9099999999999999,0.35054824654928607,-7.9739670094772315
75% Corpus,2,0.31,symmetric,0.349175994771653,-8.00940710997037
75% Corpus,2,0.61,0.01,0.35298712873547106,-8.924273895601845
75% Corpus,2,0.61,0.31,0.34158052267810535,-8.000612393274269
75% Corpus,2,0.61,0.61,0.3375252367808489,-7.836931030371334
75% Corpus,2,0.61,0.9099999999999999,0.3120142062945118,-7.869182377757161
75% Corpus,2,0.61,symmetric,0.32185743032901304,-7.855167261464494
75% Corpus,2,0.9099999999999999,0.01,0.3003297455267288,-8.746842281349913
75% Corpus,2,0.9099999999999999,0.31,0.3504470231008715,-7.921866839453271
75% Corpus,2,0.9099999999999999,0.61,0.3504176559417945,-7.896016557832205
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3445020830384903,-7.944421115460068
75% Corpus,2,0.9099999999999999,symmetric,0.34453145019756726,-7.964780485705549
75% Corpus,2,symmetric,0.01,0.34174313916568533,-8.896233714581737
75% Corpus,2,symmetric,0.31,0.3116199898560915,-7.936969335675119
75% Corpus,2,symmetric,0.61,0.34256323080222517,-7.908747426199866
75% Corpus,2,symmetric,0.9099999999999999,0.3120142062945118,-7.881852577433228
75% Corpus,2,symmetric,symmetric,0.35772985706846483,-7.989008303892839
75% Corpus,2,asymmetric,0.01,0.3081941830543665,-8.75926440308295
75% Corpus,2,asymmetric,0.31,0.3238520415418008,-7.848113365495625
75% Corpus,2,asymmetric,0.61,0.33601154040359993,-7.900337138852204
75% Corpus,2,asymmetric,0.9099999999999999,0.3539472863211717,-7.712800907602124
75% Corpus,2,asymmetric,symmetric,0.3395914614792558,-7.9542639503733295
75% Corpus,3,0.01,0.01,0.30652933445193786,-8.743122533326897
75% Corpus,3,0.01,0.31,0.3673397353817811,-8.042063199959175
75% Corpus,3,0.01,0.61,0.3997779578846125,-7.888491525244091
75% Corpus,3,0.01,0.9099999999999999,0.38192323343410267,-7.962063195837862
75% Corpus,3,0.01,symmetric,0.3264804154584849,-7.828563183714767
75% Corpus,3,0.31,0.01,0.35945193913253304,-8.913871603367394
75% Corpus,3,0.31,0.31,0.35570598485699884,-8.060195334394454
75% Corpus,3,0.31,0.61,0.32946422969559197,-7.803187447113865
75% Corpus,3,0.31,0.9099999999999999,0.35370701136857274,-7.8737679208017015
75% Corpus,3,0.31,symmetric,0.38357148765406396,-7.980127901481521
75% Corpus,3,0.61,0.01,0.36252338746906926,-8.902435309273534
75% Corpus,3,0.61,0.31,0.328178763152185,-7.908895569270883
75% Corpus,3,0.61,0.61,0.3390692238126897,-7.830130324511114
75% Corpus,3,0.61,0.9099999999999999,0.39159854266705035,-8.025149111009197
75% Corpus,3,0.61,symmetric,0.35397646599175325,-8.15872472763599
75% Corpus,3,0.9099999999999999,0.01,0.3397297731950763,-8.993736049581383
75% Corpus,3,0.9099999999999999,0.31,0.34882189145354703,-8.065029638098038
75% Corpus,3,0.9099999999999999,0.61,0.3713605967660923,-7.9929099309137115
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.36048833072957803,-7.987333889103443
75% Corpus,3,0.9099999999999999,symmetric,0.34882189145354703,-8.070610920803858
75% Corpus,3,symmetric,0.01,0.34637950404703916,-8.818780954581454
75% Corpus,3,symmetric,0.31,0.3508342937153602,-8.020548607507495
75% Corpus,3,symmetric,0.61,0.35150319810072217,-7.966320506542827
75% Corpus,3,symmetric,0.9099999999999999,0.34562462296064217,-7.955740782436325
75% Corpus,3,symmetric,symmetric,0.3658912150131728,-8.09219560734538
75% Corpus,3,asymmetric,0.01,0.34199081464963593,-8.813187808014327
75% Corpus,3,asymmetric,0.31,0.33017278828817814,-7.902594376408679
75% Corpus,3,asymmetric,0.61,0.35776794573265486,-7.77051689271652
75% Corpus,3,asymmetric,0.9099999999999999,0.4067600803669073,-7.942931933433937
75% Corpus,3,asymmetric,symmetric,0.33088787748981224,-8.01492651752729
100% Corpus,2,0.01,0.01,0.3284632604266743,-8.581095520093678
100% Corpus,2,0.01,0.31,0.3020600457830218,-7.733832895309773
100% Corpus,2,0.01,0.61,0.29741872175818207,-7.682411700993987
100% Corpus,2,0.01,0.9099999999999999,0.29241137018029006,-7.677485770740979
100% Corpus,2,0.01,symmetric,0.29384529273506144,-7.687591742858336
100% Corpus,2,0.31,0.01,0.3240690771166193,-8.593235434353685
100% Corpus,2,0.31,0.31,0.3391194504253526,-7.762746539384971
100% Corpus,2,0.31,0.61,0.3174110380799059,-7.691633209951411
100% Corpus,2,0.31,0.9099999999999999,0.3179565269525818,-7.691041687101882
100% Corpus,2,0.31,symmetric,0.30061641025462293,-7.723417578935095
100% Corpus,2,0.61,0.01,0.32785742324589096,-8.582668830905213
100% Corpus,2,0.61,0.31,0.33467080548988465,-7.740752219443077
100% Corpus,2,0.61,0.61,0.33164824180795066,-7.721866051556968
100% Corpus,2,0.61,0.9099999999999999,0.338716001704509,-7.705115649217659
100% Corpus,2,0.61,symmetric,0.3223892735823762,-7.721639705338882
100% Corpus,2,0.9099999999999999,0.01,0.30566960797922443,-8.584863286634837
100% Corpus,2,0.9099999999999999,0.31,0.3481450596435345,-7.778178382760637
100% Corpus,2,0.9099999999999999,0.61,0.3266356773371961,-7.719190964294841
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3451587365107441,-7.735387761178837
100% Corpus,2,0.9099999999999999,symmetric,0.32821690425806527,-7.724822858511319
100% Corpus,2,symmetric,0.01,0.32722412012339397,-8.591717941561567
100% Corpus,2,symmetric,0.31,0.3080641673833716,-7.739059368432535
100% Corpus,2,symmetric,0.61,0.3096724620352407,-7.725770814322178
100% Corpus,2,symmetric,0.9099999999999999,0.31036615845033055,-7.72524247713171
100% Corpus,2,symmetric,symmetric,0.3096724620352407,-7.733403888428259
100% Corpus,2,asymmetric,0.01,0.2704109417366659,-8.548537981254142
100% Corpus,2,asymmetric,0.31,0.31432029866892014,-7.731507455975309
100% Corpus,2,asymmetric,0.61,0.3555146624531668,-7.673272696562646
100% Corpus,2,asymmetric,0.9099999999999999,0.37862339850666316,-7.65053937438776
100% Corpus,2,asymmetric,symmetric,0.3607827276380654,-7.679647019460255
100% Corpus,3,0.01,0.01,0.31506954002673054,-8.681551279707929
100% Corpus,3,0.01,0.31,0.3127658013258559,-7.77508331587339
100% Corpus,3,0.01,0.61,0.32437429249962385,-7.7222190063018505
100% Corpus,3,0.01,0.9099999999999999,0.32657080701191893,-7.710535850225026
100% Corpus,3,0.01,symmetric,0.3100912023424233,-7.751701561784414
100% Corpus,3,0.31,0.01,0.3052917496055927,-8.675549921167633
100% Corpus,3,0.31,0.31,0.30608249135597343,-7.84276404082159
100% Corpus,3,0.31,0.61,0.30918919077778567,-7.810508893161893
100% Corpus,3,0.31,0.9099999999999999,0.30072220744292366,-7.819907937769333
100% Corpus,3,0.31,symmetric,0.2994698499555449,-7.805828460595613
100% Corpus,3,0.61,0.01,0.2988809483084703,-8.650047467224965
100% Corpus,3,0.61,0.31,0.29676019161172396,-7.84334476160879
100% Corpus,3,0.61,0.61,0.28131856562026086,-7.834575366347641
100% Corpus,3,0.61,0.9099999999999999,0.2979772770160299,-7.836395615407052
100% Corpus,3,0.61,symmetric,0.2884758339078906,-7.8526728434154816
100% Corpus,3,0.9099999999999999,0.01,0.30160891341480317,-8.685242872886256
100% Corpus,3,0.9099999999999999,0.31,0.2959851956649537,-7.874901854139365
100% Corpus,3,0.9099999999999999,0.61,0.3050765440787971,-7.823984890618971
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2913426738464793,-7.848077719529174
100% Corpus,3,0.9099999999999999,symmetric,0.3069208368871558,-7.836562137771893
100% Corpus,3,symmetric,0.01,0.3125955525626975,-8.665408532601395
100% Corpus,3,symmetric,0.31,0.3152774340012255,-7.804044154876646
100% Corpus,3,symmetric,0.61,0.30344797261726436,-7.80295204550343
100% Corpus,3,symmetric,0.9099999999999999,0.2973287956951842,-7.8247256714760125
100% Corpus,3,symmetric,symmetric,0.3022765262232621,-7.813719570412005
100% Corpus,3,asymmetric,0.01,0.30041352068733723,-8.635175029716905
100% Corpus,3,asymmetric,0.31,0.3070735045922934,-7.790626582704022
100% Corpus,3,asymmetric,0.61,0.417985839845175,-7.722477439019968
100% Corpus,3,asymmetric,0.9099999999999999,0.3684583063531229,-7.7069335770642935
100% Corpus,3,asymmetric,symmetric,0.32535877639599986,-7.8051285972542255
